keys,en,de,es
VSK_QUICK_MENU_ACCESS_MENU,Access Menu,Access Menu,Access Menu
VSK_QUICK_MENU_QUICK_UTILITIES,Quick Utilities,Quick Utilities,Quick Utilities
VSK_QUICK_MENU_AVATARS,Avatars,Avatare,Avatars
VSK_QUICK_MENU_EXPLORE,Explore,Erkunden,Explore
VSK_QUICK_MENU_PROPS,Props,Requisten,Props
VSK_QUICK_MENU_SOCIAL,Social,Social,Social
VSK_QUICK_MENU_SETTINGS,Settings,Einstellungen,Settings
VSK_QUICK_MENU_MORE,More…,Mehr…,More…
VSK_QUICK_MENU_RESPAWN,Respawn,Respawn,Respawn
VSK_QUICK_MENU_STANDING,Seated,Seated,Seated
VSK_QUICK_MENU_SEATED,Standing,Standing,Standing
VSK_QUICK_MENU_MUTE,Mute,Mute,Mute
VSK_QUICK_MENU_CALIBRATE,Calibrate,Calibrate,Calibrate
VSK_QUICK_MENU_CAMERA,Camera,Camera,Camera
