id,en
TR_MENU_AUDIO_FLAT_INPUT,Flat Audio Input
TR_MENU_AUDIO_FLAT_OUTPUT,Flat Audio Output
TR_MENU_AUDIO_GAME_SFX_VOLUME,Sound Effects Volume
TR_MENU_AUDIO_INPUT,Input
TR_MENU_AUDIO_MENU_VOLUME,Menu Volume
TR_MENU_AUDIO_MIC_INPUT_VOLUME,Mic Input Volume
TR_MENU_AUDIO_MUSIC_VOLUME,Music volume
TR_MENU_AUDIO_OUTPUT,Output
TR_MENU_AUDIO_VOICE_VOLUME,Voice Volume
TR_MENU_AUDIO_VR_INPUT,VR Audio input
TR_MENU_AUDIO_VR_OUTPUT,VR Audio Output
TR_MENU_BACK,Back
TR_MENU_BROWSE_SERVERS,Browse Servers
TR_MENU_CALLBACK_STATE_GAME_MODE_LOAD_FAILED,Game mode failed to load.
TR_MENU_CALLBACK_STATE_GAME_MODE_NOT_WHITELISTED,Game mode not whitelisted.
TR_MENU_CALLBACK_STATE_HOST_GAME_FAILED,Game could not be hosted.
TR_MENU_CALLBACK_STATE_INVALID_MAP,Invalid map.
TR_MENU_CALLBACK_STATE_KICKED_FROM_SERVER,Kicked from server.
TR_MENU_CALLBACK_STATE_MAP_LOAD_FAILED,Map load failed.
TR_MENU_CALLBACK_STATE_MAP_NOT_WHITELISTED,Map not whitelisted.
TR_MENU_CALLBACK_STATE_NO_SERVER_INFO,Server did not provide server info.
TR_MENU_CALLBACK_STATE_NO_SERVER_INFO_VERSION,Server info did not provide version informaton.
TR_MENU_CALLBACK_STATE_SERVER_DISCONNECTED,Server disconnected.
TR_MENU_CALLBACK_STATE_SERVER_INFO_VERSION_MISMATCH,"Server's network protocol version is not compatible with client.
Server network version: {server_network_version}
Client network version: {client_network_version}"
TR_MENU_CALLBACK_STATE_SHARD_REGISTRATION_FAILED,Shard could not be registered.
TR_MENU_CLEAR_CACHE,Clear Cache
TR_MENU_CREATING_SERVER_INFO,Creating Server Info...
TR_MENU_CREATING_SERVER_STATE,Creating Server State...
TR_MENU_CREDITS,Credits
TR_MENU_DIRECT_IP,Direct IP
TR_MENU_DISCONNECT,Disconnect
TR_MENU_DOWNLOADING_MAP,Downloading Map
TR_MENU_ERROR,Error
TR_MENU_EXIT,Exit
TR_MENU_FPS,FPS
TR_MENU_HOST,Host
TR_MENU_HOST_DEDICATED_SERVER,Dedicated Server:
TR_MENU_HOST_MAX_PLAYERS,Max players
TR_MENU_HOST_NAME,Name
TR_MENU_HOST_PORT,Port
TR_MENU_HOST_PUBLIC_SERVER,Public Server
TR_MENU_HOST_SERVER,Host Server
TR_MENU_IP,IP
TR_MENU_JOIN,Join
TR_MENU_LOADING,Loading...
TR_MENU_LOADING_ASSET,Loading Asset
TR_MENU_LOCAL_FILES,Local Files
TR_MENU_LOGIN_CANCEL,Cancel
TR_MENU_LOGIN_CREATE_ACCOUNT,Create Account
TR_MENU_LOGIN_EMAIL,Email
TR_MENU_LOGIN_LOGIN,Login
TR_MENU_LOGIN_PASSWORD,Password
TR_MENU_LOGIN_PASSWORD_CONFIRMATION,Password Confirmation
TR_MENU_LOGIN_REGISTER,Register
TR_MENU_LOGIN_SIGN_IN,Sign in
TR_MENU_LOGIN_USERNAME,Username
TR_MENU_LOGIN_USERNAME_OR_EMAIL,Username/Email
TR_MENU_LOOK_INVERT,Look Invert
TR_MENU_MAP,Map
TR_MENU_MAP_LOAD_COMPLETE,Map loading complete!
TR_MENU_MOUSE_SENSITIVITY,Mouse Sensitivity
TR_MENU_MUTE,Mute
TR_MENU_OPTIONS,Options
TR_MENU_OPTIONS_AUDIO,Audio
TR_MENU_OPTIONS_GRAPHICS,Graphics
TR_MENU_OPTIONS_INPUT,Input
TR_MENU_OPTIONS_NETWORK,Network
TR_MENU_OPTIONS_PLAYER,Player
TR_MENU_OPTIONS_VR,VR
TR_MENU_PEER,Peer
TR_MENU_PLAYER_AVATAR_PATH,Avatar Path
TR_MENU_PLAYER_COUNT,Player Count
TR_MENU_PLAYER_DISPLAY_NAME,Display Name
TR_MENU_PORT,Port
TR_MENU_QUIT_MESSAGE,Are you sure you want to quit?
TR_MENU_RECEIVE_EMAIL_NOTIFICATIONS,Receive Email Notifications
TR_MENU_RECONNECT,Reconnect
TR_MENU_REFRESH,Refresh
